E:\anaconda3\envs\CRL\lib\site-packages\wandb\sdk\lib\import_hooks.py:243: DeprecationWarning: Deprecated since Python 3.4 and slated for removal in Python 3.12; use importlib.util.find_spec() instead
  loader = importlib.find_loader(fullname, path)
num_iterations:  21%|██████████████████████████                                                                                                | 13/61 [08:58<32:12, 40.27s/it]
global_step=213992, episodic_return=[3902.926]
global_step=214112, episodic_return=[65.68784]
global_step=215600, episodic_return=[9389.8955]
global_step=216512, episodic_return=[2459.8013]
global_step=216552, episodic_return=[563.1509]
global_step=216648, episodic_return=[46.616005]
global_step=216864, episodic_return=[243.9106]
global_step=217080, episodic_return=[2351.2317]
global_step=217160, episodic_return=[40.77321]
global_step=218032, episodic_return=[777.2576]
global_step=218368, episodic_return=[634.7229]
global_step=220920, episodic_return=[9872.84]
global_step=221008, episodic_return=[42.472805]
global_step=221120, episodic_return=[54.8845]
global_step=221328, episodic_return=[1783.7203]
global_step=222288, episodic_return=[769.3325]
global_step=222408, episodic_return=[74.87764]
global_step=223696, episodic_return=[7175.418]
global_step=225536, episodic_return=[1025.1702]
global_step=225696, episodic_return=[3954.0623]
global_step=227272, episodic_return=[3054.0857]
global_step=229232, episodic_return=[3002.8079]

num_iterations:  23%|████████████████████████████                                                                                              | 14/61 [09:38<31:31, 40.24s/it]
global_step=229976, episodic_return=[2674.6711]
global_step=231208, episodic_return=[765.69025]
global_step=233920, episodic_return=[2909.9023]
global_step=234048, episodic_return=[48.148563]
global_step=235360, episodic_return=[1227.0208]
global_step=235768, episodic_return=[19300.11]
global_step=236872, episodic_return=[878.95306]
global_step=237192, episodic_return=[5650.225]
global_step=237400, episodic_return=[850.37396]
global_step=239976, episodic_return=[2270.2163]
global_step=240120, episodic_return=[119.39247]
global_step=240280, episodic_return=[1836.3115]
global_step=245080, episodic_return=[2776.3452]

num_iterations:  25%|██████████████████████████████                                                                                            | 15/61 [10:14<29:54, 39.02s/it]
global_step=247320, episodic_return=[2450.4985]
global_step=247424, episodic_return=[51.65255]
global_step=247776, episodic_return=[256.70364]
global_step=247936, episodic_return=[51278.363]
global_step=248064, episodic_return=[176.18248]
global_step=248168, episodic_return=[7059.39]
global_step=248272, episodic_return=[72.24273]
global_step=248584, episodic_return=[466.7082]
global_step=250016, episodic_return=[8133.834]
global_step=250120, episodic_return=[55.397533]
global_step=250304, episodic_return=[109.70113]
global_step=251968, episodic_return=[27345.545]
global_step=252352, episodic_return=[209.34315]
global_step=252648, episodic_return=[2728.5051]
global_step=252664, episodic_return=[4435.961]
global_step=254192, episodic_return=[6134.789]
global_step=258368, episodic_return=[7040.395]
global_step=258424, episodic_return=[2605.068]
global_step=262080, episodic_return=[4111.595]
SPS: 402

num_iterations:  26%|████████████████████████████████                                                                                          | 16/61 [10:51<28:48, 38.41s/it]
global_step=263320, episodic_return=[8142.598]
global_step=263584, episodic_return=[708.1716]
global_step=263784, episodic_return=[51996.395]
global_step=263960, episodic_return=[103.081245]
global_step=264208, episodic_return=[3396.8862]
global_step=264408, episodic_return=[557.1174]
global_step=264528, episodic_return=[62.01405]
global_step=264776, episodic_return=[925.04193]
global_step=266104, episodic_return=[1295.495]
global_step=266528, episodic_return=[1049.9398]
global_step=267544, episodic_return=[20955.092]
global_step=271808, episodic_return=[5413.0156]
global_step=271968, episodic_return=[77.444305]
global_step=272080, episodic_return=[50.291595]
global_step=272272, episodic_return=[5438.8706]
global_step=272928, episodic_return=[587.6346]
global_step=273520, episodic_return=[1144.8688]
global_step=273712, episodic_return=[126.10851]
global_step=273864, episodic_return=[4145.988]
global_step=274008, episodic_return=[66.04899]
global_step=275480, episodic_return=[1027.6897]
global_step=275920, episodic_return=[13658.867]
global_step=276776, episodic_return=[554.7829]
global_step=276968, episodic_return=[101.49691]
global_step=277064, episodic_return=[12170.166]

num_iterations:  28%|██████████████████████████████████                                                                                        | 17/61 [11:29<28:09, 38.39s/it]
global_step=281912, episodic_return=[6314.264]
global_step=284304, episodic_return=[13712.897]
global_step=286176, episodic_return=[1762.9188]
global_step=286344, episodic_return=[4809.7354]
global_step=286456, episodic_return=[59.061344]
global_step=288168, episodic_return=[5369.2725]
global_step=288664, episodic_return=[2020.3632]
global_step=289192, episodic_return=[29504.041]
global_step=289240, episodic_return=[2771.4023]
global_step=289312, episodic_return=[383.0993]
global_step=289344, episodic_return=[76.362305]
global_step=290656, episodic_return=[19815.633]
global_step=292016, episodic_return=[1817.9071]
global_step=292208, episodic_return=[4359.061]
global_step=293264, episodic_return=[859.24115]
global_step=293600, episodic_return=[216.47981]
global_step=294600, episodic_return=[4814.893]
SPS: 404

num_iterations:  30%|████████████████████████████████████                                                                                      | 18/61 [12:08<27:33, 38.44s/it]
global_step=295736, episodic_return=[3487.6912]
global_step=295792, episodic_return=[601.54767]
global_step=295856, episodic_return=[28.24247]
global_step=298776, episodic_return=[2567.2847]
global_step=299224, episodic_return=[352.9175]
global_step=300752, episodic_return=[5821.4307]
global_step=301936, episodic_return=[8732.401]
global_step=302048, episodic_return=[59.341537]
global_step=303216, episodic_return=[9550.197]
global_step=303288, episodic_return=[32.13276]
global_step=303344, episodic_return=[7790.9375]
global_step=304320, episodic_return=[3302.0596]
global_step=304512, episodic_return=[890.17523]
global_step=305656, episodic_return=[773.4731]
global_step=306056, episodic_return=[111851.97]
global_step=306464, episodic_return=[1286.488]
global_step=306704, episodic_return=[9036.1875]
global_step=306832, episodic_return=[59.071075]
global_step=306904, episodic_return=[1141.224]
global_step=307560, episodic_return=[359.53687]
global_step=307664, episodic_return=[55.25762]
global_step=307736, episodic_return=[31.70758]
global_step=307936, episodic_return=[1350.2089]
global_step=308072, episodic_return=[72.278366]
global_step=308080, episodic_return=[3803.0222]
global_step=308336, episodic_return=[193.58977]
global_step=310712, episodic_return=[8971.504]
global_step=310800, episodic_return=[2156.0754]
global_step=310816, episodic_return=[75.465996]
global_step=310920, episodic_return=[81.9903]

num_iterations:  31%|██████████████████████████████████████                                                                                    | 19/61 [12:46<26:47, 38.28s/it]
global_step=311936, episodic_return=[5708.1235]
global_step=312208, episodic_return=[1315.3291]
global_step=312280, episodic_return=[30.800432]
global_step=313064, episodic_return=[3446.1733]
global_step=313208, episodic_return=[71.346436]
global_step=313536, episodic_return=[6678.5547]
global_step=313640, episodic_return=[53.16547]
global_step=313792, episodic_return=[86.15061]
global_step=314536, episodic_return=[472.607]
global_step=314664, episodic_return=[1466.2563]
global_step=317392, episodic_return=[6297.7275]
global_step=320560, episodic_return=[10273.798]
global_step=320696, episodic_return=[7329.9995]
global_step=321144, episodic_return=[355.65988]
global_step=321592, episodic_return=[311.92627]
global_step=325360, episodic_return=[13357.204]
global_step=325360, episodic_return=[17792.156]
